,Train loss,Train accuracy,Val accuracy,Epoch,Learning rate,Weight decay rate,Batch size
0,0.3494937226176262,0.8744318181818181,0.573076923076923,59,2e-07,0.4,16
1,0.349494,0.874432,0.573077,59,2e-07,0.3,16
2,0.349494,0.874432,0.573077,59,2e-07,0.2,16
3,0.349494,0.874432,0.573077,59,2e-07,0.1,16
4,0.349494,0.874432,0.573077,59,2e-07,0.01,16
5,0.349494,0.874432,0.573077,59,2e-07,0.001,16
6,0.2230220439759167,0.92129329004329,0.61441163003663,3,2e-05,0.4,32
7,0.2230220439759167,0.92129329004329,0.61441163003663,3,2e-05,0.3,32
8,0.2230220439759167,0.92129329004329,0.61441163003663,3,2e-05,0.2,32
9,0.2230220439759167,0.92129329004329,0.61441163003663,3,2e-05,0.1,32
10,0.2230220439759167,0.92129329004329,0.61441163003663,3,2e-05,0.01,32
11,0.2230220439759167,0.92129329004329,0.61441163003663,3,2e-05,0.001,32
12,0.467229,0.809307,0.567136,45,2e-07,0.4,32
13,0.467229,0.809307,0.567136,45,2e-07,0.3,32
14,0.467229,0.809307,0.567136,45,2e-07,0.2,32
15,0.467229,0.809307,0.567136,45,2e-07,0.1,32
16,0.467229,0.809307,0.567136,45,2e-07,0.01,32
0,0.467229,0.809307,0.567136,45,2e-07,0.001,32
